ast_k1,sdc,sc_k2
eion,427093,0
eion,629220,0
eion,300556,100
eion,302588,0
eion,599647,0
eion,591716,0
eion,962740,40
eion,437672,80
eion,251974,20
eion,262192,80
eion,844462,60
eion,473266,0
eion,152692,100
eion,451220,20
eion,274293,0
eion,573322,100
eion,217056,100
eion,637153,0
eion,551028,20
eion,171109,60
eion,553009,0
eion,104891,0
eion,424276,100
eion,284514,60
eion,104618,40
eion,326959,0
eion,772634,20
eion,479675,100
eion,519678,0
eion,327137,80
eion,620063,0
eion,273825,40
eion,374526,40
eion,781936,60
eion,805101,100
eion,722106,0
eion,520944,60
eion,133826,20
eion,734739,100
eion,631199,80
eion,935063,0
eion,911815,80
eion,904274,80
eion,624831,0
eion,471871,0
eion,109220,40
eion,171477,60
eion,136541,20
eion,605009,100
eion,837888,40
eion,117939,0
eion,464214,0
eion,331329,0
eion,507497,100
eion,227667,0
eion,769815,80
eion,230494,80
eion,488081,80
eion,214934,80
eion,539865,0
eion,377532,100
eion,529445,0
eion,586981,40
eion,159842,0
eion,854333,100
eion,655715,20
eion,123875,100
eion,373901,20
eion,480843,80
eion,599697,0
eion,868366,0
eion,374400,80
qmvi,758592,0
qmvi,596235,100
qmvi,975179,80
qmvi,739244,0
qmvi,408620,100
qmvi,524203,0
qmvi,767173,100
qmvi,329294,60
qmvi,855762,0
qmvi,782903,100
qmvi,685939,100
qmvi,829577,60
qmvi,734042,100
qmvi,670452,80
qmvi,252398,0
qmvi,120912,0
qmvi,653801,0
qmvi,601465,0
qmvi,813434,0
qmvi,427093,0
qmvi,629220,0
qmvi,300556,100
qmvi,302588,40
qmvi,599647,0
qmvi,591716,0
qmvi,962740,100
qmvi,437672,0
qmvi,251974,100
qmvi,262192,100
qmvi,844462,100
qmvi,473266,0
qmvi,152692,0
qmvi,451220,100
qmvi,274293,80
qmvi,573322,100
qmvi,217056,100
qmvi,637153,0
qmvi,551028,100
qmvi,171109,100
qmvi,553009,0
qmvi,104891,0
qmvi,424276,60
qmvi,284514,60
qmvi,104618,60
qmvi,326959,0
qmvi,772634,60
qmvi,479675,100
qmvi,519678,0
qmvi,327137,100
qmvi,620063,0
qmvi,273825,80
qmvi,374526,60
qmvi,781936,40
qmvi,805101,100
qmvi,722106,0
qmvi,520944,100
qmvi,133826,0
qmvi,734739,100
qmvi,631199,40
qmvi,935063,0
qmvi,911815,60
qmvi,904274,100
qmvi,624831,0
qmvi,471871,0
qmvi,109220,0
qmvi,171477,0
qmvi,136541,60
qmvi,605009,100
qmvi,837888,60
qmvi,117939,0
qmvi,464214,0
qmvi,331329,0
qmvi,507497,100
qmvi,227667,100
qmvi,769815,100
qmvi,230494,80
qmvi,488081,100
qmvi,214934,100
qmvi,539865,0
qmvi,377532,100
qmvi,529445,0
qmvi,586981,100
qmvi,159842,0
qmvi,854333,100
qmvi,655715,80
qmvi,123875,80
qmvi,373901,0
qmvi,480843,100
qmvi,599697,0
qmvi,868366,0
qmvi,374400,100
veiy,758592,0
veiy,596235,100
veiy,975179,60
veiy,739244,0
veiy,408620,80
veiy,524203,0
veiy,767173,100
veiy,329294,60
veiy,855762,0
veiy,782903,100
veiy,685939,100
veiy,829577,60
veiy,734042,100
veiy,670452,40
veiy,252398,0
veiy,120912,0
veiy,653801,0
veiy,601465,0
veiy,813434,0
veiy,427093,0
veiy,629220,0
veiy,300556,100
veiy,302588,20
veiy,599647,0
veiy,591716,0
veiy,962740,80
veiy,437672,0
veiy,251974,100
veiy,262192,80
veiy,844462,80
veiy,473266,0
veiy,152692,0
veiy,451220,80
veiy,274293,60
veiy,573322,60
veiy,217056,60
veiy,637153,0
veiy,551028,60
veiy,171109,80
veiy,553009,0
veiy,104891,0
veiy,424276,60
veiy,284514,40
veiy,104618,40
veiy,326959,0
veiy,772634,20
veiy,479675,60
veiy,519678,0
veiy,327137,60
veiy,620063,0
veiy,273825,40
veiy,374526,60
veiy,781936,40
veiy,805101,60
veiy,722106,0
veiy,520944,80
veiy,133826,0
veiy,734739,60
veiy,631199,100
veiy,935063,0
veiy,911815,60
veiy,904274,100
veiy,624831,0
veiy,471871,0
veiy,109220,0
veiy,171477,0
veiy,136541,100
veiy,605009,80
veiy,837888,20
veiy,117939,0
veiy,464214,0
veiy,331329,0
veiy,507497,100
veiy,227667,60
veiy,769815,80
veiy,230494,80
veiy,488081,80
veiy,214934,40
veiy,539865,0
veiy,377532,80
veiy,529445,0
