title,authorLN,authorFN,authorID,year,pages,country,repetition,gender,language
Wilhelm Meisters Lehrjahre,Goethe,Johann Wolfgang von,jgoethe,1993,241,BRD,0,1,d
Die Blechtrommel,Grass,Guenther,ggrass,1993,736,BRD,0,1,d
Kabale und Liebe,Schiller,Friedrich,fschiller,1993,119,BRD,0,1,d
Draussen vor der Tuer,Borchert,Wolfgang,wborchert,1993,54,BRD,0,1,d
Reigen,Schnitzler,Arthur,aschnitzler,1993,64,AUT,0,1,d
Von morgens bis mitternachts,Kaiser,Georg,gkaiser,1993,64,BRD,0,1,d
Renaissance und Barockthemen,Neumeister,Sebastian,sneumeister,1993,30,BRD,0,1,d
Erziehung des Menschengeschlechts,Barnouw,Jeffrey,jbarnouw,1993,39,USA,0,1,d
Torquato Tasso,Goethe,Johann,jgoethe,1993,59,BRD,0,1,d
Minna von Barnhelm,Lessing,Gotthold Ephraim,glessing,1993,90,BRD,0,1,d
Die neuen Leiden des jungen W,Plenzdorf,Ulrich,uplenzdorf,1993,148,BRD,0,1,d
Lenz,Schneider,Peter,pschneider,1993,90,BRD,0,1,d
Franny und Zooey,Salinger,Jerome David,jsalinger,1993,124,USA,0,1,d
Alice im Spiegelland,Carroll,Lewis,lcarroll,1993,174,GBR,0,1,d
Spuren zum Kreuz,Busch,Wilhelm,wbusch,1993,125,BRD,0,1,d
Hasenherz,Updike,John,jupdike,1993,266,USA,0,1,d
Die Jesusbewegung in USA,Schulte,Anton,aschulte,1993,118,BRD,0,1,d
Der Steppenwolf,Hesse,Hermann,hhesse,1993,322,BRD,0,1,d
Dienstanweisung fuer einen Unterteufel,Lewis,Clives Sta,clewis,1993,140,GBR,0,1,d
Gewitter im Bauch,Schlipper,Annette,aschlipper,1993,174,BRD,0,0,d
Generation X,Coupland,Douglas,dcoupland,1993,224,CAN,0,1,d
Love me tender,Blatter,Silvio,sblatter,1993,206,SUI,0,1,d
Stolz,Nizon,Paul,pnizon,1993,192,SUI,0,1,d
Die Zuflucht,Boom,Corrie ten,cboom,1993,238,NED,0,0,d
Walden,Thoreau,Henry David,hthoreau,1993,323,USA,0,1,d
Aus meiner Hausapotheke,Modersohn,Ernst,emodersohn,1993,61,BRD,0,1,d
Gammler Zen und hohe Berge,Kerouac,Jack,kerouac,1993,178,USA,0,1,d
Am offenen Meer,Strindberg,August,astrindberg,1993,285,SWE,0,1,d
Billy the Kid,Neider,Charles,cneider,1993,237,USA,0,1,d
Viel Laerm um nichts,Shakespeare,William,wshakespeare,1993,24,GBR,0,1,d
Luther im Gespraech,Luther,Martin,mluther,1993,342,BRD,0,1,d
Das letzte Kapitel,Hamsun,Knut,khamsun,1993,525,NOR,0,1,d
Tagebuecher 1955--1966,Nin,Anais,anin,1993,619,USA,0,0,d
Zeno Cosini,Svevo,Italo,isvevo,1993,606,ITA,0,1,d
Knut Hamsun,Schwarzbach,Martin,mschwarzbach,1993,158,BRD,0,1,d
Das Geheimnis des siebten Zaubers,Jones,Diana Wynne,djones,1993,255,USA,0,0,d
Wir handeln mit Traeumen,Schaper,Michael,mschaper,1993,188,BRD,0,1,d
Walt Disney,Reitberger,Reinhold,rreitberger,1993,137,BRD,0,1,d
Die Erfindung der Einsamkeit,Auster,Paul,pauster,1993,238,USA,0,1,d
Der alte Mann und das Meer,Hemingway,Ernest,ehemingway,1993,124,USA,0,1,d
Flaechenland,Abbott,Edwin,eabbott,1993,49,GBR,0,1,d
Gestaendnis einer Maske,Mishima,Yukio,ymishima,1993,151,JAP,0,1,d
Wendekreis des Steinbocks,Miller,Henry,hmiller,1993,318,USA,0,1,d
Oddyssee,Homer,Homer,hhomer,1993,407,GRE,0,1,d
Rechenschaft vor El Greco,Katzantzakis,Nikos,nkatzantzakis,1993,454,GRE,0,1,d
Hebt den Dachbalken hoch Zimmerleute,Salinger,Jerome D.,salinger,1993,159,USA,0,1,d
Der Scherz,Kundera,Milan,mkundera,1993,350,TCH,0,1,d
Alice im Wunderland,Carroll,Lewis,lcarroll,1994,138,GBR,0,1,d
Am Anfang war Erziehung,Miller,Alice,amiller,1994,322,SUI,0,0,d
Augustin Louis Cauchy,Loeffladt,Guenter,gloeffladt,1994,22,FRA,0,1,d
Aus dem Leben Hoedlmosers,Gruber,Reinhard,rgruber,1994,113,AUT,0,1,d
Das andere Geschlecht,Beauvoir,Simone de,sbeauvoir,1994,681,FRA,0,0,d
Das Bettelweib von Locarno,Kleist,Heinrich von,hkleist,1994,4,BRD,0,1,d
Das Buch vom Lachen und Vergessen,Kundera,Milan,mkundera,1994,306,TCH,0,1,d
Das Erdbeben in Chili,Kleist,Heinrich von,hkleist,1994,19,BRD,0,1,d
Das Foucaultsche Pendel,Eco,Umberto,ueco,1994,754,ITA,0,1,d
Das Lachen,Bergson,Henri,hbergson,1994,138,FRA,0,1,d
Das Leben ist anderswo,Kundera,Milan,mkundera,1994,341,TCH,0,1,d
Das Normale und die Sehnsucht,Widmer,Urs,uwidmer,1994,115,SUI,0,1,d
Das Totenschiff,Traven,Bruno,btraven,1994,231,USA,0,1,d
Der Stimmenimitator,Bernhard,Thomas,tbernhard,1994,179,AUT,0,1,d
Der Zweikampf,Kleist,Heinrich von,hkleist,1994,32,BRD,0,1,d
Die Auferstehung,Tolstoj,Leo,ltolstoj,1994,471,RUS,0,1,d
Die Erfindung der Einsamkeit,Auster,Paul,pauster,1994,238,USA,0,1,d
Die gestohlene Schoepfung,Widmer,Urs,uwidmer,1994,236,SUI,0,1,d
