ast,sdc,mark
mbks,508193,95
mbks,564108,90
mbks,867373,95
mbks,939896,86
mbks,430803,100
mbks,557431,81
mbks,411804,86
mbks,930798,95
mbks,444660,95
mbks,134688,89
mbks,561448,76
mbks,434276,90
mbks,609770,86
mbks,876088,76
mbks,974870,76
mbks,229929,90
mbks,286557,76
mbks,801861,86
mbks,455606,76
mbks,780300,100
mbks,463502,67
mbks,128056,86
mbks,273575,95
mbks,336564,71
mbks,477847,81
mbks,648748,86
mbks,325237,76
mbks,190975,71
mbks,842469,67
mbks,790087,62
mbks,828249,76
mbks,650411,57
mbks,436680,76
mbks,465921,85
mbks,562377,100
mbks,598268,62
mbks,294113,63
mbks,857630,57
mbks,372850,62
mbks,118717,67
mbks,207419,48
mbks,630282,67
mbks,617195,57
mbks,493108,76
mbks,544648,57
mbks,465581,71
mbks,463227,38
mbks,587273,57
mbks,313584,29
mbks,985341,43
mbks,338368,52
mbks,290746,33
mbks,627640,33
mbks,896090,33
mbks,562248,24
mbks,602868,14
mbks,678996,10
mbks,925738,5
mbks,610744,0
ptyo,925104,96
ptyo,836671,88
ptyo,979951,0
ptyo,310780,84
ptyo,869196,88
ptyo,233385,100
ptyo,555922,36
ptyo,517185,48
ptyo,748462,100
ptyo,431713,90
ptyo,553852,100
ptyo,258163,72
ptyo,993047,96
ptyo,405672,0
ptyo,584645,76
ptyo,363790,90
ptyo,194196,88
yzyj,836671,68.47
yzyj,979951,0
yzyj,748462,72.33
yzyj,993047,68.67
yzyj,194196,22.2
yzyj,584645,24.47
yzyj,517185,59.33
yzyj,553852,87.53
yzyj,555922,0
yzyj,258163,8.33
yzyj,925104,72.87
yzyj,431713,72.47
yzyj,363790,76.47
yzyj,310780,68.13
yzyj,405672,0
yzyj,233385,81.47
yzyj,869196,50.47
lnai,836671,88.5
lnai,979951,0
lnai,748462,75.2
lnai,993047,90
lnai,194196,33.8
lnai,584645,56.3
lnai,517185,0
lnai,553852,92.5
lnai,555922,0
lnai,258163,0
lnai,925104,79
lnai,431713,61.7
lnai,363790,66.3
lnai,310780,79
lnai,405672,0
lnai,233385,87.5
lnai,869196,27.4
tmmw,127890,0
tmmw,995874,77.78
tmmw,418441,100
tmmw,481992,44.44
tmmw,445278,88.89
tmmw,958376,72.22
tmmw,542150,88.89
tmmw,377866,77.78
tmmw,373971,66.67
tmmw,734480,66.67
tmmw,123574,83.33
tmmw,278226,88.89
tmmw,911293,83.33
tmmw,658468,38.89
tmmw,380881,27.78
tmmw,231800,88.89
tmmw,127232,0
tmmw,756598,72.22
tmmw,247967,0
tmmw,145065,66.67
tmmw,847811,88.89
tmmw,521522,50
tmmw,531022,77.78
tmmw,592100,61.11
tmmw,467599,33.33
tmmw,505926,0
tmmw,598061,100
tmmw,519908,66.67
tmmw,946387,66.67
tmmw,683139,88.89
tmmw,193426,100
tmmw,770733,100
tmmw,346223,77.78
tmmw,222278,66.67
tmmw,369773,0
tmmw,128970,94.44
tmmw,387235,77.78
tmmw,559338,94.44
tmmw,253839,83.33
ufao,127890,0
ufao,995874,90.91
ufao,418441,95.45
ufao,481992,90.91
ufao,445278,90.91
ufao,958376,72.73
ufao,542150,68.18
ufao,377866,100
ufao,373971,63.64
ufao,734480,81.82
ufao,123574,90.91
ufao,278226,81.82
ufao,911293,86.36
ufao,658468,36.36
ufao,380881,68.18
ufao,231800,95.45
ufao,127232,0
ufao,756598,86.36
ufao,247967,0
ufao,145065,72.73
ufao,847811,81.82
ufao,521522,86.36
ufao,531022,63.64
ufao,592100,81.82
ufao,467599,50
ufao,505926,0
ufao,598061,90.91
ufao,519908,77.27
ufao,946387,68.18
ufao,683139,90.91
ufao,193426,90.91
ufao,770733,77.27
ufao,346223,86.36
ufao,222278,90.91
ufao,369773,0
ufao,128970,100
ufao,387235,81.82
ufao,559338,100
ufao,253839,90.91
zuxl,544648,70
zuxl,493108,75
zuxl,562825,85
zuxl,158944,80
zuxl,573207,70
zuxl,371223,80
zuxl,436680,80
zuxl,930798,80
zuxl,273575,90
zuxl,780300,90
zuxl,134688,65
zuxl,338368,75
zuxl,463227,96
zuxl,630282,70
zuxl,808860,0
zuxl,229929,70
zuxl,896090,70
zuxl,598268,75
zuxl,455606,90
zuxl,627640,75
zuxl,465581,85
zuxl,602868,70
zuxl,678996,80
zuxl,290746,85
zuxl,557431,80
zuxl,434276,75
zuxl,609770,90
zuxl,559164,80
zuxl,985341,85
zuxl,562377,70
zuxl,587273,75
zuxl,650411,90
zuxl,828249,65
zuxl,465921,90
zuxl,372850,95
zuxl,561448,85
zuxl,444660,85
zuxl,508193,80
zuxl,336564,85
zuxl,325237,85
zuxl,801861,60
zuxl,190975,75
zuxl,128056,65
zuxl,207419,94
zuxl,294113,75
zuxl,617195,70
zuxl,630094,85
zuxl,749394,75
zuxl,411804,80
zuxl,562248,70
zuxl,790087,70
zuxl,463502,75
zuxl,939896,90
zuxl,974870,85
zuxl,313584,85
zuxl,118717,90
zuxl,477847,90
zuxl,867373,75
zuxl,612420,85
zuxl,857630,60
zuxl,286557,65
zuxl,430803,65
zuxl,925738,0
zuxl,648748,75
zuxl,564108,85
zuxl,876088,85
zuxl,610744,0
zuxl,842469,85
gxxl,544648,40.00
gxxl,493108,60.00
gxxl,562825,46.67
gxxl,158944,106.67
gxxl,573207,73.33
gxxl,371223,93.33
gxxl,436680,66.67
gxxl,930798,93.33
gxxl,273575,106.67
gxxl,780300,66.67
gxxl,134688,53.33
gxxl,338368,26.67
gxxl,463227,73.33
gxxl,630282,33.33
gxxl,808860,0.00
gxxl,229929,73.33
gxxl,896090,33.33
gxxl,598268,46.67
gxxl,455606,93.33
gxxl,627640,33.33
gxxl,465581,46.67
gxxl,602868,66.67
gxxl,678996,33.33
gxxl,290746,33.33
gxxl,557431,80.00
gxxl,434276,60.00
gxxl,609770,66.67
gxxl,559164,53.33
gxxl,985341,26.67
gxxl,562377,53.33
gxxl,587273,66.67
gxxl,650411,106.67
gxxl,828249,86.67
gxxl,465921,26.67
gxxl,372850,53.33
gxxl,561448,40.00
gxxl,444660,80.00
gxxl,508193,66.67
gxxl,336564,26.67
gxxl,325237,80.00
gxxl,801861,40.00
gxxl,190975,73.33
gxxl,128056,33.33
gxxl,207419,106.67
gxxl,294113,93.33
gxxl,617195,53.33
gxxl,630094,73.33
gxxl,749394,86.67
gxxl,411804,60.00
gxxl,562248,66.67
gxxl,790087,93.33
gxxl,463502,46.67
gxxl,939896,106.67
gxxl,974870,53.33
gxxl,313584,46.67
gxxl,118717,106.67
gxxl,477847,73.33
gxxl,867373,73.33
gxxl,612420,66.67
gxxl,857630,46.67
gxxl,286557,66.67
gxxl,430803,26.67
gxxl,925738,0.00
gxxl,648748,80.00
gxxl,564108,73.33
gxxl,876088,93.33
gxxl,610744,0.00
gxxl,842469,46.67
bsps,544648,100
bsps,493108,100
bsps,562825,100
bsps,158944,100
bsps,573207,100
bsps,371223,100
bsps,436680,100
bsps,930798,100
bsps,273575,100
bsps,780300,100
bsps,134688,100
bsps,338368,100
bsps,463227,100
bsps,630282,100
bsps,808860,0
bsps,229929,100
bsps,896090,100
bsps,598268,100
bsps,455606,100
bsps,627640,100
bsps,465581,100
bsps,602868,100
bsps,678996,100
bsps,290746,100
bsps,557431,100
bsps,434276,100
bsps,609770,100
bsps,559164,100
bsps,985341,100
bsps,562377,100
bsps,587273,0
bsps,650411,100
bsps,828249,100
bsps,465921,100
bsps,372850,100
bsps,561448,100
bsps,444660,100
bsps,508193,100
bsps,336564,100
bsps,325237,100
bsps,801861,100
bsps,190975,100
bsps,128056,100
bsps,207419,100
bsps,294113,100
bsps,617195,100
bsps,630094,100
bsps,749394,100
bsps,411804,100
bsps,562248,100
bsps,790087,0
bsps,463502,100
bsps,939896,100
bsps,974870,100
bsps,313584,100
bsps,118717,100
bsps,477847,100
bsps,867373,100
bsps,612420,100
bsps,857630,100
bsps,286557,100
bsps,430803,100
bsps,925738,0
bsps,648748,0
bsps,564108,100
bsps,876088,100
bsps,610744,0
bsps,842469,100
aftj,544648,70.00
aftj,493108,66.00
aftj,562825,85.00
aftj,158944,80.00
aftj,573207,70.00
aftj,371223,68.00
aftj,436680,60.00
aftj,930798,62.00
aftj,273575,85.00
aftj,780300,80.00
aftj,134688,62.00
aftj,338368,60.00
aftj,463227,0
aftj,630282,70.00
aftj,808860,86.00
aftj,229929,65.00
aftj,896090,86.00
aftj,598268,79.00
aftj,455606,85.00
aftj,627640,62.00
aftj,465581,66.00
aftj,602868,68.00
aftj,678996,62.00
aftj,290746,62.00
aftj,557431,86.00
aftj,434276,68.00
aftj,609770,68.00
aftj,559164,60.00
aftj,985341,66.00
aftj,562377,54.00
aftj,587273,69.00
aftj,650411,85.00
aftj,828249,68.00
aftj,465921,55.00
aftj,372850,78.00
aftj,561448,78.00
aftj,444660,66.00
aftj,508193,86.00
aftj,336564,58.00
aftj,325237,80.00
aftj,801861,85.00
aftj,190975,80.00
aftj,128056,66.00
aftj,207419,0
aftj,294113,80.00
aftj,617195,58.00
aftj,630094,68.00
aftj,749394,82.00
aftj,411804,68.00
aftj,562248,58.00
aftj,790087,86.00
aftj,463502,82.00
aftj,939896,86.00
aftj,974870,85.00
aftj,313584,68.00
aftj,118717,80.00
aftj,477847,68.00
aftj,867373,80.00
aftj,612420,80.00
aftj,857630,68.00
aftj,286557,80.00
aftj,430803,58.00
aftj,925738,0
aftj,648748,80.00
aftj,564108,74.00
aftj,876088,86.00
aftj,610744,0
aftj,842469,80.00
lfcs,542150,57.6
lfcs,373971,57.6
lfcs,658468,39.0
lfcs,946387,49.0
lfcs,505926,0.0
lfcs,127232,0.0
lfcs,911293,96.1
lfcs,377866,49.0
lfcs,387235,76.1
lfcs,467599,31.8
lfcs,519908,44.7
lfcs,734480,80.4
lfcs,346223,47.6
lfcs,995874,50.4
lfcs,770733,56.1
lfcs,559338,59.0
lfcs,598061,83.3
lfcs,253839,97.6
lfcs,531022,79.0
lfcs,481992,67.6
lfcs,145065,60.4
lfcs,683139,106.1
lfcs,380881,70.4
lfcs,128970,100.4
lfcs,123574,64.7
lfcs,958376,89.0
lfcs,418441,103.3
lfcs,521522,61.8
lfcs,222278,54.7
lfcs,847811,89.0
lfcs,231800,49.0
lfcs,127890,0.0
lfcs,756598,46.1
lfcs,247967,13.3
lfcs,592100,50.4
lfcs,445278,83.3
lfcs,193426,64.7
lfcs,278226,81.8
zvct,836671,72.25
zvct,979951,0
zvct,748462,100
zvct,993047,88.92
zvct,194196,62.5
zvct,584645,47.92
zvct,517185,0
zvct,553852,66.67
zvct,555922,38.92
zvct,258163,56.25
zvct,925104,100
zvct,431713,83.33
zvct,363790,86.08
zvct,310780,61.08
zvct,405672,0
zvct,233385,64.58
zvct,869196,81.25
tqnt,127890,0
tqnt,995874,84.83
tqnt,418441,100
tqnt,481992,65.29
tqnt,445278,51.21
tqnt,958376,85.42
tqnt,542150,54.17
tqnt,377866,75
tqnt,373971,56.25
tqnt,734480,60.96
tqnt,123574,65.63
tqnt,278226,86.46
tqnt,911293,75.79
tqnt,658468,62.5
tqnt,380881,69.46
tqnt,231800,70.25
tqnt,127232,0
tqnt,756598,62.5
tqnt,247967,0
tqnt,145065,81.25
tqnt,847811,93.17
tqnt,521522,63.71
tqnt,531022,75.79
tqnt,592100,76.37
tqnt,467599,34.71
tqnt,505926,0
tqnt,598061,95.83
tqnt,519908,84.83
tqnt,946387,63.29
tqnt,683139,93.17
tqnt,193426,95.83
tqnt,770733,77.08
tqnt,346223,84.83
tqnt,222278,86.46
tqnt,369773,0
tqnt,128970,95.83
tqnt,387235,63.54
tqnt,559338,89
tqnt,253839,89
xzxi,127890,0
xzxi,995874,80.68
xzxi,418441,97.37
xzxi,481992,60.63
xzxi,445278,78.05
xzxi,958376,56.26
xzxi,542150,58
xzxi,377866,89.47
xzxi,373971,49.26
xzxi,734480,86.47
xzxi,123574,75.95
xzxi,278226,92.11
xzxi,911293,5.26
xzxi,658468,40.47
xzxi,380881,46
xzxi,231800,76.42
xzxi,127232,0
xzxi,756598,52.63
xzxi,247967,0
xzxi,145065,0
xzxi,847811,83.89
xzxi,521522,46.63
xzxi,531022,44
xzxi,592100,59.79
xzxi,467599,39.47
xzxi,505926,0
xzxi,598061,97.37
xzxi,519908,88.74
xzxi,946387,81.05
xzxi,683139,97
xzxi,193426,100
xzxi,770733,93.84
xzxi,346223,87.74
xzxi,222278,64.53
xzxi,369773,0
xzxi,128970,91.21
xzxi,387235,63.26
xzxi,559338,78.05
xzxi,253839,81.58
jvpl,836671,73.4
jvpl,979951,0
jvpl,748462,100
jvpl,993047,100
jvpl,194196,83.4
jvpl,584645,66.6
jvpl,517185,86.6
jvpl,553852,90
jvpl,555922,50
jvpl,258163,0
jvpl,925104,83.4
jvpl,431713,100
jvpl,363790,80
jvpl,310780,93.4
jvpl,405672,0
jvpl,233385,100
jvpl,869196,46.6
lirj,542150,69
lirj,373971,100
lirj,658468,96
lirj,946387,88
lirj,505926,02
lirj,127232,15
lirj,911293,100
lirj,377866,96
lirj,387235,81
lirj,467599,69
lirj,519908,52
lirj,734480,40
lirj,346223,79
lirj,995874,44
lirj,770733,58
lirj,559338,54
lirj,598061,92
lirj,253839,69
lirj,531022,96
lirj,481992,96
lirj,145065,77
lirj,683139,98
lirj,380881,94
